Time,Temperature,Pressure,Time,Temperature,Pressure
638,76.3038211379,117.618102792,,,
639,76.3584096398,117.870593022,,,
640,76.3038211379,117.93371558,,,
641,76.3584096398,117.870593022,,,
642,76.3584096398,117.618102792,,,
643,76.3584096398,117.42873512,,,
644,76.3584096398,117.365612562,,,
645,76.3584096398,117.42873512,,,
646,76.413079443,117.870593022,,,
647,76.413079443,118.119138092,,,
648,76.413079443,117.93371558,,,
649,76.413079443,117.744347907,,,
650,76.467830819,117.618102792,,,
651,76.467830819,117.744347907,,,
652,76.467830819,117.807470465,,,
653,76.467830819,117.744347907,,,
654,76.467830819,117.93371558,,,
655,76.5226640405,117.807470465,,,
656,76.5226640405,117.870593022,,,
657,76.5226640405,117.807470465,,,
658,76.5775793815,117.554980235,,,
659,76.6325771175,117.618102792,,,
660,76.6325771175,117.870593022,,,
661,76.6325771175,118.18226065,,,
662,76.6325771175,118.245383207,,,
663,76.6876575251,118.119138092,,,
664,76.7428208824,117.870593022,,,
665,76.6876575251,117.554980235,,,
666,76.6876575251,117.744347907,,,
667,76.7428208824,117.807470465,,,
668,76.7428208824,117.870593022,,,
669,76.7946121134,118.119138092,,,
670,76.8499369819,118.18226065,,,
671,76.7946121134,118.056015535,,,
672,76.9053456245,117.870593022,,,
673,76.9053456245,117.870593022,,,
674,76.9053456245,117.870593022,,,
675,76.9053456245,117.870593022,,,
676,76.9053456245,117.554980235,,,
677,76.9053456245,117.807470465,,,
678,76.9608383247,118.119138092,,,
679,76.9608383247,117.870593022,,,
680,76.9608383247,117.807470465,,,
681,76.9608383247,117.618102792,,,
682,77.0164153671,118.056015535,,,
683,77.0720770379,117.807470465,,,
684,77.0720770379,117.93371558,,,
685,77.0720770379,117.992892977,,,
686,77.1278236246,118.119138092,,,
687,77.1278236246,117.870593022,,,
688,77.2395727028,117.807470465,,,
689,77.2395727028,117.93371558,,,
690,77.2395727028,117.807470465,,,
691,77.2955757763,117.618102792,,,
692,77.3481568303,117.870593022,,,
693,77.3481568303,118.119138092,,,
694,77.3481568303,118.056015535,,,
695,77.3481568303,118.119138092,,,
696,77.3481568303,117.870593022,,,
697,77.4043269514,117.807470465,,,
698,77.3481568303,117.870593022,,,
699,77.4043269514,117.870593022,,,
700,77.4043269514,117.807470465,,,
701,77.4605837246,117.744347907,,,
702,77.4605837246,117.554980235,,,
703,77.4605837246,117.807470465,,,
704,77.5169274474,117.42873512,,,
705,77.4605837246,117.554980235,,,
706,77.5169274474,117.554980235,,,
707,77.5169274474,117.491857677,,,
708,77.5169274474,117.870593022,,,
709,77.5169274474,117.93371558,,,
710,77.5169274474,117.807470465,,,
711,77.5733584186,117.807470465,,,
712,77.5733584186,117.302490005,,,
713,77.5169274474,117.618102792,,,
714,77.5733584186,117.554980235,,,
715,77.5733584186,117.365612562,,,
